target_url,title,status_code,crawl_depth,exported_total_inlinks,exported_unique_inlinks,reported_total_inlinks,reported_unique_inlinks,inlinks_file
"https://campbellwindowfilm.com/","Window Tinting & Security Film | Campbell Window Film","200","0","1616","264","1616","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com.csv"
"https://campbellwindowfilm.com/about-us/","About Us - Campbell Window Film","200","1","1068","264","1068","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_about_us.csv"
"https://campbellwindowfilm.com/blogs/","Blogs - Campbell Window Film","200","1","1073","264","1073","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_blogs.csv"
"https://campbellwindowfilm.com/contact-us/","Contact Us - Campbell Window Film","200","1","1242","264","1242","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_contact_us.csv"
"https://campbellwindowfilm.com/locations-served/","Locations Served - Campbell Window Film","200","1","1090","264","1090","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served.csv"
"https://campbellwindowfilm.com/locations-served/anaheim/","Window Film Installation Services in Anaheim, CA","200","1","1071","264","1071","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_anaheim.csv"
"https://campbellwindowfilm.com/locations-served/beverly-hills/","Window Film Installation Services in Beverly Hills, CA","200","1","1071","264","1071","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_beverly_hills.csv"
"https://campbellwindowfilm.com/locations-served/huntington-beach/","Window Film Installation Services in Huntington Beach, CA","200","1","1071","264","1071","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_huntington_beach.csv"
"https://campbellwindowfilm.com/locations-served/long-beach/","Window Film Installation Services in Long Beach, CA","200","1","1071","264","1071","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_long_beach.csv"
"https://campbellwindowfilm.com/locations-served/los-angeles/","Window Film Installation Services in Los Angeles, CA","200","1","1078","264","1078","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_los_angeles.csv"
"https://campbellwindowfilm.com/locations-served/san-bernardino/","Window Film Installation Services in San Bernardino, CA","200","1","1071","264","1071","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_san_bernardino.csv"
"https://campbellwindowfilm.com/locations-served/san-diego/","Window Film Installation Services in San Diego, CA","200","1","1071","264","1071","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_san_diego.csv"
"https://campbellwindowfilm.com/locations-served/san-diego/decorative-window-film/","San Diego Decorative Window Film - Campbell Window Film","200","1","540","264","540","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_san_diego_decorative_window_film.csv"
"https://campbellwindowfilm.com/locations-served/san-diego/security-screens-doors-windows/","Security Screens for Doors and Windows in San Diego, CA - Campbell Window Film","200","1","540","264","540","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_san_diego_security_screens_doors_windows.csv"
"https://campbellwindowfilm.com/locations-served/san-diego/security-window-film/","San Diego Security Window Film - Campbell Window Film","200","1","540","264","540","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_san_diego_security_window_film.csv"
"https://campbellwindowfilm.com/locations-served/san-diego/window-tinting/","San Diego Window Tinting - Campbell Window Film","200","1","541","264","541","264","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\campbellwindowfilm.com-sitewide\inlinks\campbellwindowfilm_com_locations_served_san_diego_window_tinting.csv"
